Time[s]	Pressure[Pa]	Alt[m]	Acc_x[G]	Acc_y[G]	Acc_z[G]	Gyro_x[º/s]	Gyro_y[º/s]	Gyro_z[º/s]	Temp_bme[*C]	Temp_imu[*C]
1.20	101386.41	0.06	-0.18	-0.27	0.96	0.12	2.55	-0.44	26.14	27.3
2.22	101388.80	-0.14	-0.18	-0.27	0.96	0.12	2.82	-0.50	26.14	27.4
3.24	101384.78	0.19	-0.18	-0.27	0.96	0.37	2.72	-0.66	26.15	27.4
4.26	101390.88	-0.31	-0.18	-0.27	0.96	0.29	2.63	-0.25	26.15	27.4
5.28	101388.66	-0.13	-0.19	-0.26	0.97	0.27	2.44	-0.40	26.15	27.4
6.31	101388.66	-0.13	-0.18	-0.27	0.96	0.11	2.37	-0.20	26.15	27.5
7.33	101388.30	-0.10	-0.18	-0.32	0.94	6.56	4.42	-25.04	26.14	27.4
8.36	101387.00	0.01	-0.17	-0.35	0.92	-0.76	2.45	0.66	26.16	27.5
9.38	101388.37	-0.10	-0.18	-0.37	0.92	0.10	2.60	0.13	26.16	27.4
10.40	101387.57	-0.04	-0.18	-0.37	0.92	-0.05	2.35	-0.18	26.16	27.5
11.42	101386.89	0.02	-0.18	-0.37	0.92	0.01	2.53	-0.27	26.16	27.6
12.45	101389.39	-0.19	-0.18	-0.38	0.92	-0.05	2.30	-0.27	26.16	27.4
13.47	101391.55	-0.37	-0.18	-0.37	0.92	-0.03	2.44	-0.03	26.16	27.6
14.49	101389.73	-0.22	-0.19	-0.40	0.91	-1.13	4.98	11.40	26.16	27.5
